word,order_id,seller_state,count,english,sentiment,specificity
gostei,1c8898140458c37fbbf0be37d47193b9,SP,1,liked,POSITIVE,4.1
dentro,1e91914c9706a5d4665b8c5a6294b107,SP,1,within,POSITIVE,5.8
comprar,1e91914c9706a5d4665b8c5a6294b107,SP,1,buy-again,POSITIVE,3.1
tinha,1e91914c9706a5d4665b8c5a6294b107,SP,1,tinha,NEGATIVE,3.2
hoje,bb5b0d8f3e9c964760c674f2aa2ae0cf,SP,1,hoje,NEGATIVE,7.1
fiz,2e5dc86c8c4aa663549caf5e31de840d,SP,1,I-made-complaint,NEGATIVE,4.0
receber,cadd4c5765abf658117f2cc7e2a639c2,SP,1,yet-to-receive,NEGATIVE,4.7
prazo,3081ddf6e7c6afa4e4124e7882486fcd,SP,1,on-time,POSITIVE,5.6
fiz,3081ddf6e7c6afa4e4124e7882486fcd,SP,1,I-made-complaint,NEGATIVE,4.0
adorei,6925682cc441a2514cd15f7f17ece7b2,SP,1,loved,POSITIVE,78.5
lindo,6925682cc441a2514cd15f7f17ece7b2,SP,1,beautiful,POSITIVE,41.8
dois,201691efe89d4d71f36e5ea279a8759a,SP,1,dois,NEGATIVE,5.5
resposta,201691efe89d4d71f36e5ea279a8759a,SP,1,no-response,NEGATIVE,23.5
aguardo,201691efe89d4d71f36e5ea279a8759a,SP,1,waiting,NEGATIVE,11.0
bom,fc8c2e8bc069aea361c41c313464993c,SP,1,good,POSITIVE,13.5
qualidade,fc8c2e8bc069aea361c41c313464993c,SP,1,quality,POSITIVE,3.6
prazo,15c8f741c0b7deafafea8af0f7bb6852,SP,1,on-time,POSITIVE,5.6
recomendo,15c8f741c0b7deafafea8af0f7bb6852,SP,1,recommend,POSITIVE,8.1
dentro,15c8f741c0b7deafafea8af0f7bb6852,SP,1,within,POSITIVE,5.8
bom,935f0d2ac8ce7ce29f5712d2637ddb33,SP,1,good,POSITIVE,13.5
prazo,0bcbcc3e0a09b3f6a9495de35f452616,SP,1,on-time,POSITIVE,5.6
chegou,0bcbcc3e0a09b3f6a9495de35f452616,SP,1,arrived,POSITIVE,2.5
qualidade,0bcbcc3e0a09b3f6a9495de35f452616,SP,1,quality,POSITIVE,3.6
excelente,0bcbcc3e0a09b3f6a9495de35f452616,SP,1,excellent,POSITIVE,91.3
dentro,0bcbcc3e0a09b3f6a9495de35f452616,SP,1,within,POSITIVE,5.8
comprar,fd65651f855608ad1aa52ff4a741c31a,SP,1,buy-again,POSITIVE,3.1
correto,fd65651f855608ad1aa52ff4a741c31a,SP,1,correto,POSITIVE,4.2
super,4b661d524b6f0788746514fb6f7ad3fa,BA,1,super,POSITIVE,16.4
contato,287b045cfe9ba0ed08308efc06c366ae,SP,1,no-contact,NEGATIVE,12.0
fiz,287b045cfe9ba0ed08308efc06c366ae,SP,1,I-made-complaint,NEGATIVE,4.0
chegou,ff37040ee7efbb9709c2b4389c4c0fc4,SP,1,arrived,POSITIVE,2.5
recomendo,ff37040ee7efbb9709c2b4389c4c0fc4,SP,1,recommend,POSITIVE,8.1
qualidade,ff37040ee7efbb9709c2b4389c4c0fc4,SP,1,quality,POSITIVE,3.6
boa,ff37040ee7efbb9709c2b4389c4c0fc4,SP,1,good(f),POSITIVE,4.9
aguardando,512ba2efae3409f37660ce26199b32aa,SP,1,still-waiting,NEGATIVE,10.9
dois,e6b23db78d4473c921fb9315e04b5c0f,SP,2,dois,NEGATIVE,5.5
retorno,e6b23db78d4473c921fb9315e04b5c0f,SP,1,no-callback,NEGATIVE,19.4
somente,e6b23db78d4473c921fb9315e04b5c0f,SP,1,somente,NEGATIVE,4.5
prazo,eccb333547035c917db4396ff94c3182,SP,2,on-time,POSITIVE,5.6
comprar,eccb333547035c917db4396ff94c3182,SP,1,buy-again,POSITIVE,3.1
nem,eccb333547035c917db4396ff94c3182,SP,1,not-even,NEGATIVE,9.2
recomendo,06ecfa8dfae87263e05d953aa561603d,SP,1,recommend,POSITIVE,8.1
prazo,b3e8f5b15b942cacd19dba17d7179867,SP,1,on-time,POSITIVE,5.6
otimo,1a558554b7f10eba1ffdd56ce469df63,SP,1,great,POSITIVE,40.4
diferente,93720f5a467d2edd5e84e209e8a9a4f6,SP,1,different-item,NEGATIVE,6.3
excelente,00b9e0f8f588d0406a3de447eb606970,SP,1,excellent,POSITIVE,91.3
atendimento,ef1b29b591d31d57c0d7337460dd83c9,SP,1,atendimento,POSITIVE,4.1
bom,d9fb85f3f3239e18e331c9f622d6998b,SP,1,good,POSITIVE,13.5
chegou,55b5a2fb966c36bed46f082ad6062914,SP,1,arrived,POSITIVE,2.5
defeito,62a575a2a9f2c005b7ec7ff7dd76d5ee,SP,1,defective,NEGATIVE,4.2
recomendo,dae4fcb62b78ccf2ff3ac4d49113a8f5,SP,1,recommend,POSITIVE,8.1
qualidade,dae4fcb62b78ccf2ff3ac4d49113a8f5,SP,1,quality,POSITIVE,3.6
super,dae4fcb62b78ccf2ff3ac4d49113a8f5,SP,1,super,POSITIVE,16.4
bom,e11c61aa2d539f826865ea728496f6d4,DF,1,good,POSITIVE,13.5
tinha,e11c61aa2d539f826865ea728496f6d4,DF,1,tinha,NEGATIVE,3.2
chegou,1a2cff485ae2a17b68b6ccefb1ecdf93,SP,1,arrived,POSITIVE,2.5
otimo,c835e0746829dbae8bb92fb818ba654d,SP,1,great,POSITIVE,40.4
satisfeito,afb1e1ccaac288ec1ab9754e2e36cdaf,SP,1,satisfeito,POSITIVE,24.9
prazo,f23c71439ab24ac853522e783dd7dec2,SP,1,on-time,POSITIVE,5.6
bom,f23c71439ab24ac853522e783dd7dec2,SP,1,good,POSITIVE,13.5
dentro,f23c71439ab24ac853522e783dd7dec2,SP,1,within,POSITIVE,5.8
amei,60c6581ec5ed9187370902a251501b8c,SP,1,loved-it,POSITIVE,119.8
lindo,60c6581ec5ed9187370902a251501b8c,SP,1,beautiful,POSITIVE,41.8
recomendo,108e1d5b7a25ff07b49e500b1c7ae4b0,MG,1,recommend,POSITIVE,8.1
diferente,108e1d5b7a25ff07b49e500b1c7ae4b0,MG,1,different-item,NEGATIVE,6.3
pedi,108e1d5b7a25ff07b49e500b1c7ae4b0,MG,1,pedi,NEGATIVE,4.7
cor,108e1d5b7a25ff07b49e500b1c7ae4b0,MG,1,cor,NEGATIVE,2.1
satisfeito,f464bdc3b17c2085e54b66d8e5ae1695,SP,1,satisfeito,POSITIVE,24.9
fiz,796b04ac2c7b508683f6010238b991f1,SC,1,I-made-complaint,NEGATIVE,4.0
recomendo,1a1ef8dc595adbce0e5d75d806d69286,DF,1,recommend,POSITIVE,8.1
qualidade,1a1ef8dc595adbce0e5d75d806d69286,DF,1,quality,POSITIVE,3.6
prazo,d66d818e0e5486b4382bdaad63390b53,SP,1,on-time,POSITIVE,5.6
chegou,d66d818e0e5486b4382bdaad63390b53,SP,1,arrived,POSITIVE,2.5
bom,d66d818e0e5486b4382bdaad63390b53,SP,1,good,POSITIVE,13.5
dentro,d66d818e0e5486b4382bdaad63390b53,SP,1,within,POSITIVE,5.8
chegou,ac706ac9421036e88d5b2c96b058aba6,SP,1,arrived,POSITIVE,2.5
gostei,ac706ac9421036e88d5b2c96b058aba6,SP,1,liked,POSITIVE,4.1
bom,e7bf6c078fcd0eac3b977d498537e2b3,PR,1,good,POSITIVE,13.5
prazo,e0ffd1287f544946a6a6a2dca083e37f,SP,1,on-time,POSITIVE,5.6
prazo,c277dea251cfd74bf121060769a7135a,PR,1,on-time,POSITIVE,5.6
perfeito,c277dea251cfd74bf121060769a7135a,PR,1,perfect,POSITIVE,48.0
satisfeita,f506fd1443d94ad16f25a94426fb8805,PR,1,satisfied,POSITIVE,15.1
bom,8458ad0c5a4b19319109dc629ac03c8f,SP,1,good,POSITIVE,13.5
comprar,8458ad0c5a4b19319109dc629ac03c8f,SP,1,buy-again,POSITIVE,3.1
recomendo,51eaae3287e04efba45a51f52098fc88,SP,1,recommend,POSITIVE,8.1
super,ecdc847ed73d804147eb009dec3a0a0c,SP,1,super,POSITIVE,16.4
super,729c445f5f350f88d5c9a3911d6e9bc0,RJ,1,super,POSITIVE,16.4
resposta,a5a83c95ed669b7ba0ddce1d761c191f,PR,1,no-response,NEGATIVE,23.5
fiscal,a5a83c95ed669b7ba0ddce1d761c191f,PR,1,fiscal,NEGATIVE,4.8
chegou,1b82cfd1e6a6d682ee254b2ff4cf387f,SP,1,arrived,POSITIVE,2.5
hoje,1b82cfd1e6a6d682ee254b2ff4cf387f,SP,1,hoje,NEGATIVE,7.1
boa,43050a51a257b17d51295e07650cb654,SP,1,good(f),POSITIVE,4.9
fiz,43050a51a257b17d51295e07650cb654,SP,1,I-made-complaint,NEGATIVE,4.0
hoje,43050a51a257b17d51295e07650cb654,SP,1,hoje,NEGATIVE,7.1
defeito,43050a51a257b17d51295e07650cb654,SP,1,defective,NEGATIVE,4.2
bom,f1eb378be592a06b8c3c6006b7d7102e,SP,1,good,POSITIVE,13.5
qualidade,a848ecb46fe108b35dd5bd7bf4fdddca,SP,1,quality,POSITIVE,3.6
qualidade,67274e3826cb110f3d0cb45f33c2275e,SP,1,quality,POSITIVE,3.6
prazo,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,on-time,POSITIVE,5.6
recomendo,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,recommend,POSITIVE,8.1
super,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,super,POSITIVE,16.4
dentro,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,within,POSITIVE,5.8
lindo,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,beautiful,POSITIVE,41.8
correto,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,correto,POSITIVE,4.2
cor,38fc895ea0a2aa253a46a6fdbb65aaf5,SP,1,cor,NEGATIVE,2.1
prazo,b630c986ea5c14749196132407a05589,SP,1,on-time,POSITIVE,5.6
recomendo,323ebc5450e01beac5ad45e926ecf923,PR,1,recommend,POSITIVE,8.1
prazo,9d7f2c9f33008498700ffdc3162878fb,SP,1,on-time,POSITIVE,5.6
chegou,9d7f2c9f33008498700ffdc3162878fb,SP,1,arrived,POSITIVE,2.5
prazo,988551bc1edc4b81a7e98af061a60228,SP,1,on-time,POSITIVE,5.6
bom,988551bc1edc4b81a7e98af061a60228,SP,1,good,POSITIVE,13.5
chegou,68993f27a34bd02e3b2c2ebb5c41b9ec,RS,1,arrived,POSITIVE,2.5
embalado,68993f27a34bd02e3b2c2ebb5c41b9ec,RS,1,well-packed,POSITIVE,11.0
comprar,762955db358210db24103ff9ce1ddda7,SP,1,buy-again,POSITIVE,3.1
fiz,762955db358210db24103ff9ce1ddda7,SP,1,I-made-complaint,NEGATIVE,4.0
hoje,762955db358210db24103ff9ce1ddda7,SP,1,hoje,NEGATIVE,7.1
lindo,134bf8fea9ec1583380780902cf0dc7c,SP,1,beautiful,POSITIVE,41.8
troca,134bf8fea9ec1583380780902cf0dc7c,SP,1,exchange,NEGATIVE,6.1
prazo,c81d1d3f8deeded6af5d352021b5a188,SP,1,on-time,POSITIVE,5.6
chegou,c81d1d3f8deeded6af5d352021b5a188,SP,1,arrived,POSITIVE,2.5
conforme,c81d1d3f8deeded6af5d352021b5a188,SP,1,as-expected,POSITIVE,4.3
prazo,0527142b56f235b4936a8573f33b020b,SP,1,on-time,POSITIVE,5.6
chegou,0527142b56f235b4936a8573f33b020b,SP,1,arrived,POSITIVE,2.5
recomendo,0527142b56f235b4936a8573f33b020b,SP,1,recommend,POSITIVE,8.1
super,0527142b56f235b4936a8573f33b020b,SP,1,super,POSITIVE,16.4
amei,0527142b56f235b4936a8573f33b020b,SP,1,loved-it,POSITIVE,119.8
atendimento,0527142b56f235b4936a8573f33b020b,SP,1,atendimento,POSITIVE,4.1
qualidade,523824180b3b651c5d233b761bdd7597,SP,1,quality,POSITIVE,3.6
gostei,523824180b3b651c5d233b761bdd7597,SP,1,liked,POSITIVE,4.1
dois,409e065598ea4a9dba359d894ab0cab9,RJ,1,dois,NEGATIVE,5.5
prazo,6ce409ae9fc35c1c78c3190b660a23b4,PR,1,on-time,POSITIVE,5.6
dentro,6ce409ae9fc35c1c78c3190b660a23b4,PR,1,within,POSITIVE,5.8
chegou,c5a47daec61dfde191baca4e5c10668f,SP,1,arrived,POSITIVE,2.5
bom,c5a47daec61dfde191baca4e5c10668f,SP,1,good,POSITIVE,13.5
conforme,87ecc025e6e05e1bd65706f6d689856c,SP,1,as-expected,POSITIVE,4.3
lindo,bf013ab8da2ddc44737310fb1f58361e,MG,1,beautiful,POSITIVE,41.8
cor,bf013ab8da2ddc44737310fb1f58361e,MG,1,cor,NEGATIVE,2.1
nem,520a772c685704aec515546f7a098ea9,RJ,1,not-even,NEGATIVE,9.2
fiscal,520a772c685704aec515546f7a098ea9,RJ,1,fiscal,NEGATIVE,4.8
prazo,ce136deab0b93414db6536909873e31b,PR,1,on-time,POSITIVE,5.6
chegou,ce136deab0b93414db6536909873e31b,PR,1,arrived,POSITIVE,2.5
excelente,ce136deab0b93414db6536909873e31b,PR,1,excellent,POSITIVE,91.3
bom,b70e6b353379423761497f0d95376da2,SP,1,good,POSITIVE,13.5
recomendo,b70e6b353379423761497f0d95376da2,SP,1,recommend,POSITIVE,8.1
super,b70e6b353379423761497f0d95376da2,SP,1,super,POSITIVE,16.4
bom,5420abaef4ca382f6916df704a0d54b0,SP,1,good,POSITIVE,13.5
recomendo,adde6f841dc05dfe3899ed053001e5bc,SP,1,recommend,POSITIVE,8.1
qualidade,adde6f841dc05dfe3899ed053001e5bc,SP,1,quality,POSITIVE,3.6
comprar,adde6f841dc05dfe3899ed053001e5bc,SP,1,buy-again,POSITIVE,3.1
bom,e48bf703c3d5e80776e4d036425edddb,SP,1,good,POSITIVE,13.5
quero,adad66be45caa015d25e03ed17610197,MG,1,I-want-refund,NEGATIVE,12.0
receber,adad66be45caa015d25e03ed17610197,MG,1,yet-to-receive,NEGATIVE,4.7
qualidade,24b41566e32a4a737536859707517572,SP,1,quality,POSITIVE,3.6
recomendo,93e56c4866b1bca15316f565c387e573,SP,1,recommend,POSITIVE,8.1
excelente,93e56c4866b1bca15316f565c387e573,SP,1,excellent,POSITIVE,91.3
dentro,c862d307944b0dd344a6e4310a345564,SP,1,within,POSITIVE,5.8
troca,934e266bc66e8ed5bba8266dfde60175,PR,1,exchange,NEGATIVE,6.1
bom,20643f3f5e6c738074425d5ea256551a,SP,1,good,POSITIVE,13.5
recomendo,20643f3f5e6c738074425d5ea256551a,SP,1,recommend,POSITIVE,8.1
recomendo,d9aefa5d4ccd369c783f5121e069a470,SP,1,recommend,POSITIVE,8.1
super,d9aefa5d4ccd369c783f5121e069a470,SP,1,super,POSITIVE,16.4
bom,05ad071b550b1cf2815e8bf3bec3291f,MG,1,good,POSITIVE,13.5
satisfeito,7dd12269fb63d70af90a488dc5e90876,SP,1,satisfeito,POSITIVE,24.9
hoje,7dd12269fb63d70af90a488dc5e90876,SP,1,hoje,NEGATIVE,7.1
duas,e30b9cda599826e24ad3f5eddf966583,SP,1,two-weeks,NEGATIVE,5.4
aguardo,e30b9cda599826e24ad3f5eddf966583,SP,1,waiting,NEGATIVE,11.0
dinheiro,e30b9cda599826e24ad3f5eddf966583,SP,1,money-back,NEGATIVE,31.2
gostei,061295e635460bf36f1bb41bd54fd2d2,SP,1,liked,POSITIVE,4.1
prazo,4b9d1bbbeed0481ecc124c66e355896f,SP,1,on-time,POSITIVE,5.6
chegou,4b9d1bbbeed0481ecc124c66e355896f,SP,1,arrived,POSITIVE,2.5
chegou,b78daf077b6b98f10302642e4c657877,SP,1,arrived,POSITIVE,2.5
gostei,b78daf077b6b98f10302642e4c657877,SP,1,liked,POSITIVE,4.1
excelente,613664f2d7289e4a0898d9bfeb426db0,SP,1,excellent,POSITIVE,91.3
atendimento,613664f2d7289e4a0898d9bfeb426db0,SP,1,atendimento,POSITIVE,4.1
gostei,52ef81c49a349b1162a7bd4a8c2034e4,SP,1,liked,POSITIVE,4.1
bom,7ec4063a8ed5b8e7ab1b7bdd7951ffa9,SP,1,good,POSITIVE,13.5
previsto,7ec4063a8ed5b8e7ab1b7bdd7951ffa9,SP,1,expected,POSITIVE,10.3
satisfeita,7ec4063a8ed5b8e7ab1b7bdd7951ffa9,SP,1,satisfied,POSITIVE,15.1
prazo,6b5c527f8d210097a9cfaddd7bf4ec94,SP,1,on-time,POSITIVE,5.6
prazo,058350ebe1e9c9b426d1331b4b6063d1,SP,1,on-time,POSITIVE,5.6
recomendo,058350ebe1e9c9b426d1331b4b6063d1,SP,1,recommend,POSITIVE,8.1
gostei,058350ebe1e9c9b426d1331b4b6063d1,SP,1,liked,POSITIVE,4.1
dentro,058350ebe1e9c9b426d1331b4b6063d1,SP,1,within,POSITIVE,5.8
chegou,7977e307a9ea263c2cef8cdc9ccbbe26,SP,1,arrived,POSITIVE,2.5
cor,7977e307a9ea263c2cef8cdc9ccbbe26,SP,2,cor,NEGATIVE,2.1
prazo,a1ea75ae7c9c7bb3f5b51a9ee910de31,MG,1,on-time,POSITIVE,5.6
super,a1ea75ae7c9c7bb3f5b51a9ee910de31,MG,1,super,POSITIVE,16.4
embalado,a1ea75ae7c9c7bb3f5b51a9ee910de31,MG,1,well-packed,POSITIVE,11.0
obrigado,a1ea75ae7c9c7bb3f5b51a9ee910de31,MG,1,thank-you,POSITIVE,9.7
otimo,109294a0d68947b6b49c0a59a8f951cd,SP,1,great,POSITIVE,40.4
obrigado,26874945bcbf47606ab08580cf923693,PR,1,thank-you,POSITIVE,9.7
resposta,26874945bcbf47606ab08580cf923693,PR,1,no-response,NEGATIVE,23.5
conforme,60ddc3cf31819e316702f9ede42e26c7,SP,1,as-expected,POSITIVE,4.3
qualidade,04ad8c8d81d4c6b6936947bfe41c20fd,SP,1,quality,POSITIVE,3.6
boa,04ad8c8d81d4c6b6936947bfe41c20fd,SP,1,good(f),POSITIVE,4.9
conforme,04ad8c8d81d4c6b6936947bfe41c20fd,SP,1,as-expected,POSITIVE,4.3
duas,2b7f34e9b0b9eba10050d725278d8609,SC,1,two-weeks,NEGATIVE,5.4
somente,2b7f34e9b0b9eba10050d725278d8609,SC,1,somente,NEGATIVE,4.5
prazo,a80aedf3acd66b4cd4f63901251af78f,SP,1,on-time,POSITIVE,5.6
adorei,a80aedf3acd66b4cd4f63901251af78f,SP,1,loved,POSITIVE,78.5
satisfeito,e2f6cc7f7084110fd5473cfdae918307,MG,1,satisfeito,POSITIVE,24.9
otimo,b4138bbc55ffe9ddeb824f7e3068fc50,MG,1,great,POSITIVE,40.4
recomendo,bef6f136b891658b2b57851b5afb5c99,SP,1,recommend,POSITIVE,8.1
super,bef6f136b891658b2b57851b5afb5c99,SP,1,super,POSITIVE,16.4
dois,43150008aa4569cfef4be756bd7dbdd3,SP,1,dois,NEGATIVE,5.5
defeito,43150008aa4569cfef4be756bd7dbdd3,SP,1,defective,NEGATIVE,4.2
excelente,384f8660f6bc7396d5a875b60285c2dd,SP,1,excellent,POSITIVE,91.3
prazo,3d9d7644b996a0c8a0038a70c90830cb,SP,1,on-time,POSITIVE,5.6
recomendo,3d9d7644b996a0c8a0038a70c90830cb,SP,1,recommend,POSITIVE,8.1
gostei,3d9d7644b996a0c8a0038a70c90830cb,SP,1,liked,POSITIVE,4.1
bom,f9dba21dfbb520ed911cebc91688195e,MA,1,good,POSITIVE,13.5
recomendo,a6711e454e2bbe3bb021ec7fcfd3c6ac,SP,1,recommend,POSITIVE,8.1
recomendo,b4b03edd1ede75d36cd31b38d52bc9fb,SP,1,recommend,POSITIVE,8.1
qualidade,b4b03edd1ede75d36cd31b38d52bc9fb,SP,1,quality,POSITIVE,3.6
prazo,00b12f4674177ef40c4bdb034138c843,SP,1,on-time,POSITIVE,5.6
chegou,00b12f4674177ef40c4bdb034138c843,SP,1,arrived,POSITIVE,2.5
excelente,00b12f4674177ef40c4bdb034138c843,SP,1,excellent,POSITIVE,91.3
dentro,00b12f4674177ef40c4bdb034138c843,SP,1,within,POSITIVE,5.8
conforme,00b12f4674177ef40c4bdb034138c843,SP,1,as-expected,POSITIVE,4.3
prazo,c6984432d9f4eefb72712f14a8103b6e,SP,1,on-time,POSITIVE,5.6
chegou,c6984432d9f4eefb72712f14a8103b6e,SP,1,arrived,POSITIVE,2.5
gostei,c6984432d9f4eefb72712f14a8103b6e,SP,1,liked,POSITIVE,4.1
aguardando,69ffbfbfbabf0d4360c4deb0632b6f1a,SP,1,still-waiting,NEGATIVE,10.9
resposta,69ffbfbfbabf0d4360c4deb0632b6f1a,SP,1,no-response,NEGATIVE,23.5
saber,69ffbfbfbabf0d4360c4deb0632b6f1a,SP,1,saber,NEGATIVE,8.1
gostaria,69ffbfbfbabf0d4360c4deb0632b6f1a,SP,2,gostaria,NEGATIVE,4.5
prazo,2dc3f680b2788d38f7162482b575e41a,SP,1,on-time,POSITIVE,5.6
correto,2dc3f680b2788d38f7162482b575e41a,SP,1,correto,POSITIVE,4.2
satisfeito,a50a23ee8e09f54388b66da19c633bc4,SP,1,satisfeito,POSITIVE,24.9
gostaria,a50a23ee8e09f54388b66da19c633bc4,SP,1,gostaria,NEGATIVE,4.5
bom,0bb77e62d791c3e5b009815ac19825be,SP,1,good,POSITIVE,13.5
paguei,1905a6fa69b8fe273cc0ec81f8ec31b5,RJ,1,I-paid-for,NEGATIVE,9.6
prazo,0fc4514962014882225600c063477bd3,RJ,1,on-time,POSITIVE,5.6
qualidade,6f4719ee5e7d76f4a81d919ed3927f89,SP,1,quality,POSITIVE,3.6
adorei,6f4719ee5e7d76f4a81d919ed3927f89,SP,1,loved,POSITIVE,78.5
recomendo,bf6a2df6b944199274254f8bb0159ec3,SP,1,recommend,POSITIVE,8.1
embalado,bf6a2df6b944199274254f8bb0159ec3,SP,1,well-packed,POSITIVE,11.0
fiscal,bf6a2df6b944199274254f8bb0159ec3,SP,1,fiscal,NEGATIVE,4.8
prazo,028d62c0fdae574114981f4fb33b5538,SP,1,on-time,POSITIVE,5.6
